Country_name,Confirmed,Deaths
Afghanistan,155688,7238
Albania,177108,2807
Algeria,205106,5867
Andorra,15338,130
Angola,62606,1660
Antigua and Barbuda,3858,93
Argentina,5271361,115660
Armenia,278431,5713
Australia,1538,11
Australia,71099,514
Australia,224,0
Australia,2071,7
Australia,914,4
Australia,237,13
Australia,63836,957
Australia,1112,9
Austria,771143,11151
Azerbaijan,498630,6734
Bahamas,21580,590
Bahrain,275975,1391
Bangladesh,1564881,27746
Barbados,12427,109
Belarus,567938,4369
Belgium,168222,0
Belgium,173552,0
Belgium,143363,0
Belgium,103133,0
Belgium,176918,0
Belgium,155428,0
Belgium,70998,0
Belgium,35668,0
Belgium,65719,0
Belgium,25210,25747
Belgium,50031,0
Belgium,111627,0
Belize,23990,461
Benin,24560,161
Bhutan,2617,3
Bolivia,506150,18824
Bosnia and Herzegovina,243914,11110
Botswana,181856,2386
Brazil,88001,1842
Brazil,239166,6253
Brazil,123226,1987
Brazil,427103,13754
Brazil,1239293,26957
Brazil,941903,24349
Brazil,509543,10681
Brazil,597376,12738
Brazil,884775,23920
Brazil,358548,10210
Brazil,539461,13630
Brazil,375047,9619
Brazil,2164781,55106
Brazil,594724,16702
Brazil,443505,9364
Brazil,1533803,39747
Brazil,625561,19877
Brazil,322556,7058
Brazil,370418,7361
Brazil,1451864,35151
Brazil,1305919,67457
Brazil,267379,6550
Brazil,126300,2016
Brazil,1204332,19475
Brazil,4388031,151017
Brazil,278290,6020
Brazil,226571,3828
Brunei,10251,68
Bulgaria,537752,22188
Burkina Faso,14657,203
Burma,485646,18297
Burundi,19555,38
Cabo Verde,38006,347
Cambodia,116140,2610
Cameroon,98402,1550
Canada,314252,2946
Canada,196433,2055
Canada,0,1
Canada,13,0
Canada,61987,1230
Canada,5669,84
Canada,1881,13
Canada,1638,9
Canada,7077,98
Canada,671,4
Canada,602162,9861
Canada,309,0
Canada,417831,11437
Canada,13,0
Canada,73662,773
Canada,837,10
Central African Republic,11469,100
Chad,5067,174
Chile,61962,1252
Chile,98596,1514
Chile,27591,535
Chile,27567,356
Chile,8401,79
Chile,152148,2693
Chile,49188,1029
Chile,89317,1408
Chile,49543,696
Chile,29256,499
Chile,102532,1784
Chile,699562,19260
Chile,36287,646
Chile,69238,1556
Chile,41910,810
Chile,49,0
Chile,124400,3477
China,1008,6
China,1127,9
China,603,6
China,1294,1
China,199,2
China,3199,8
China,317,2
China,147,2
China,190,6
China,1318,7
China,1711,13
China,1550,22
China,12285,213
China,68303,4512
China,1191,4
China,422,1
China,1600,0
China,937,1
China,577,3
China,462,2
China,77,0
China,77,0
China,18,0
China,679,3
China,957,7
China,2666,7
China,260,0
China,1214,3
China,500,3
China,1,0
China,0,0
China,981,3
China,1538,2
China,1456,1
Colombia,6828,255
Colombia,751118,16196
Colombia,13449,461
Colombia,325444,9502
Colombia,157131,2975
Colombia,105503,2556
Colombia,100528,2265
Colombia,1452194,27519
Colombia,22892,937
Colombia,35582,927
Colombia,55986,1545
Colombia,89403,2496
Colombia,16405,398
Colombia,104020,3739
Colombia,264040,6809
Colombia,2296,29
Colombia,5137,96
Colombia,88331,3142
Colombia,42745,1342
Colombia,95275,3339
Colombia,89485,2267
Colombia,89691,3024
Colombia,91339,4284
Colombia,16363,668
Colombia,56457,1744
Colombia,87749,2226
Colombia,6917,136
Colombia,225698,7299
Colombia,59149,1623
Colombia,107462,3662
Colombia,0,296
Colombia,409381,12969
Colombia,1753,17
Colombia,2938,53
Comoros,4184,147
Congo (Brazzaville),15514,222
Congo (Kinshasa),57269,1089
Costa Rica,551144,6797
Cote d'Ivoire,60982,674
Croatia,424666,8862
Cuba,930822,8018
Cyprus,121995,560
Czechia,1705971,30528
Denmark,1332,2
Denmark,654,0
Denmark,367307,2679
Diamond Princess,712,13
Djibouti,13377,179
Dominica,4153,28
Dominican Republic,368830,4082
Ecuador,513026,32899
Egypt,316711,17884
El Salvador,110188,3447
Equatorial Guinea,12840,156
Eritrea,6767,44
Estonia,170159,1415
Eswatini,46359,1233
Ethiopia,358345,6169
Fiji,51701,663
Finland,149897,1116
France,43255,293
France,45439,633
France,53836,800
France,42269,656
France,20439,181
France,9861,231
France,54024,370
France,1658,6
France,32,0
France,3878,55
France,454,7
France,6905628,114921
Gabon,33442,213
Gambia,9946,339
Georgia,652677,9396
Germany,595953,10823
Germany,759801,15858
Germany,213337,3664
Germany,119241,3870
Germany,34289,522
