id,Book Title,Price,Rate
0,It's Only the Himalayas,45.17,2
1,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
2,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3
3,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
4,Under the Tuscan Sun,37.33,3
5,A Summer In Europe,44.34,2
6,The Great Railway Bazaar,30.54,1
7,A Year in Provence (Provence #1),56.88,4
8,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1
9,Neither Here nor There: Travels in Europe,38.95,3
10,"1,000 Places to See Before You Die",26.08,5
11,Sharp Objects,47.82,4
12,"In a Dark, Dark Wood",19.63,1
13,The Past Never Ends,56.5,4
14,A Murder in Time,16.64,1
15,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
16,The Last Mile (Amos Decker #2),54.21,2
17,That Darkness (Gardiner and Renner #1),13.92,1
18,Tastes Like Fear (DI Marnie Rome #3),10.69,1
19,A Time of Torment (Charlie Parker #14),48.35,5
20,A Study in Scarlet (Sherlock Holmes #1),16.73,2
21,Poisonous (Max Revere Novels #3),26.8,3
22,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
23,Most Wanted,35.28,3
24,Hide Away (Eve Duncan #20),11.84,1
25,Boar Island (Anna Pigeon #19),59.48,3
26,The Widow,27.26,2
27,Playing with Fire,13.71,3
28,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
30,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
31,Tipping the Velvet,53.74,1
32,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
33,A Flight of Arrows (The Pathfinders #2),55.53,5
34,The House by the Lake,36.95,1
35,Mrs. Houdini,30.25,5
36,The Marriage of Opposites,28.08,4
37,Glory over Everything: Beyond The Kitchen House,45.84,3
38,"Love, Lies and Spies",20.55,2
39,A Paris Apartment,39.01,4
40,Lilac Girls,17.28,2
41,The Constant Princess (The Tudor Court #1),16.62,3
42,The Invention of Wings,37.34,1
43,World Without End (The Pillars of the Earth #2),32.97,4
44,The Passion of Dolssa,28.32,5
45,Girl With a Pearl Earring,26.77,1
46,Voyager (Outlander #3),21.07,5
47,The Red Tent,35.66,5
48,The Last Painting of Sara de Vos,55.55,2
49,The Guernsey Literary and Potato Peel Pie Society,49.53,1
50,Girl in the Blue Coat,46.83,2
51,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
53,This One Summer,19.49,4
54,The Nameless City (The Nameless City #1),38.16,4
55,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2
56,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3
57,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
58,"Pop Gun War, Volume 1: Gift",18.97,1
59,Patience,10.16,3
60,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
61,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
62,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2
63,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3
64,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
65,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2
66,I am a Hero Omnibus Volume 1,54.63,3
67,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2
68,Danganronpa Volume 1,51.99,4
69,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4
70,Camp Midnight,17.08,4
71,The Secret Garden,15.08,4
72,The Metamorphosis,28.58,1
73,The Pilgrim's Progress,50.26,2
74,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2
75,Little Women (Little Women #1),28.07,4
76,Gone with the Wind,32.49,3
77,Candide,58.63,3
78,Animal Farm,57.22,3
79,Wuthering Heights,17.73,3
80,The Picture of Dorian Gray,29.7,2
